week_ind,day_int,OT,away,attendance,roof_type,humidity_pct,wind_speed,temperature,duration,coach_rating,coach_rating_opp,home_strength,opp_strength
2.0,2,0,0,74971.0,outdoors,59.4390243902439,7.0,68.0,187.0,58.81918794973137,71.60151960784314,25.757646754073846,-4.664796979117442
3.0,2,0,1,25386.0,outdoors,59.4390243902439,5.0,84.0,188.0,9.88666666666667,57.87987993138933,6.24614859045151,-15.112905320084757
4.0,1,0,0,74587.0,outdoors,59.4390243902439,14.0,82.0,197.0,57.874870654905855,70.88201127819555,8.258382599431137,-10.564227558330904
7.0,5,0,1,55090.0,outdoors,59.4390243902439,1.0,62.0,207.0,38.83846153846158,58.02363938100784,1.6591009074733192,-11.425639362506775
8.0,1,0,0,76573.0,outdoors,59.4390243902439,12.0,44.0,185.0,56.98691866028712,147.952,10.734854551245938,-19.87982440053168
9.0,2,0,1,93273.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,177.0,65.06395800973385,56.078412784835656,7.82718587117389,-6.312882988375106
11.0,2,1,1,76363.0,outdoors,59.4390243902439,23.0,50.0,200.0,23.50935286935288,55.34316672832409,4.074169808331712,-14.004130605359348
14.0,2,0,0,74461.0,outdoors,59.4390243902439,13.0,46.0,190.0,55.46100459039551,48.67349625285111,-6.595108551045861,-9.25037689524368
15.0,3,0,0,75011.0,outdoors,59.4390243902439,9.0,53.0,189.0,57.52345030234312,107.4378571428571,5.42679792793772,-14.89294852252665
17.0,2,0,1,75928.0,outdoors,59.4390243902439,4.0,17.0,187.0,102.20025641025642,59.9987724763438,-4.259988373609974,-12.786205553270564
1.0,1,0,1,76324.0,outdoors,59.4390243902439,12.0,73.0,174.0,50.0,-53.73500000000003,5.575038779562272,-21.01696510790985
4.0,2,0,0,25374.0,outdoors,59.4390243902439,6.0,72.0,166.0,26.321666666666665,70.4110338345865,20.16712235642871,-27.967252294175413
5.0,2,0,1,77373.0,outdoors,59.4390243902439,7.0,76.0,206.0,49.34792016806722,21.81000000000004,-11.354710922596098,9.065897418883138
6.0,2,0,1,54685.0,outdoors,59.4390243902439,9.0,76.0,170.0,40.02331978221413,38.23566666666669,-10.631371612878292,-6.136516825905451
7.0,2,0,0,25388.0,outdoors,59.4390243902439,4.0,90.0,173.0,52.53261904761903,166.55791666666667,0.6889841696886583,-12.462505670229191
12.0,5,0,1,93012.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,169.0,61.90183712121221,49.83592803030305,-7.39506344334195,-12.520870355268173
14.0,2,0,0,25393.0,outdoors,59.4390243902439,4.0,81.0,179.0,86.6635576923077,66.25571857923498,27.08048139810606,-21.749546575419835
17.0,2,0,0,25430.0,outdoors,59.4390243902439,2.0,62.0,177.0,101.44337500000002,46.81318627450987,20.98953694247017,-17.813604515626274
3.0,2,0,1,77123.0,outdoors,59.4390243902439,8.56071964017991,76.0,180.0,63.773285444698686,53.65949675324672,15.494466624962024,-30.674447582178203
4.0,2,0,1,76909.0,outdoors,59.4390243902439,7.0,72.0,178.0,170.0675,43.79612652007332,27.4103554691564,-37.45004508872361
12.0,2,0,0,53930.0,outdoors,59.4390243902439,13.0,61.0,189.0,41.12181946348655,108.0697777777778,1.3304829622631873,-20.948922196738003
