coach_name,coach_link,team_link,home_away,boxscore_id,date,coach_id,team_id,season
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,away,201310200det,2013-10-20,LewiMa0,cin,2013
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,home,201310200det,2013-10-20,SchwJi0,det,2013
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,away,201310200gnb,2013-10-20,ChudRo0,cle,2013
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,home,201310200gnb,2013-10-20,McCaMi0,gnb,2013
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,away,201310200jax,2013-10-20,McCoMi1,sdg,2013
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,home,201310200jax,2013-10-20,BradGu0,jax,2013
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,away,201310200kan,2013-10-20,KubiGa0,htx,2013
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,home,201310200kan,2013-10-20,ReidAn0,kan,2013
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,away,201310200mia,2013-10-20,MarrDo0,buf,2013
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,home,201310200mia,2013-10-20,PhilJo0,mia,2013
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,away,201310200nyj,2013-10-20,BeliBi0,nwe,2013
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,home,201310200nyj,2013-10-20,RyanRe0,nyj,2013
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,away,201310200oti,2013-10-20,HarbJi0,sfo,2013
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,home,201310200oti,2013-10-20,MuncMi0,oti,2013
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,away,201310200phi,2013-10-20,GarrJa0,dal,2013
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,home,201310200phi,2013-10-20,KellCh0,phi,2013
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,away,201310200pit,2013-10-20,HarbJo0,rav,2013
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,home,201310200pit,2013-10-20,TomlMi0,pit,2013
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,away,201310200was,2013-10-20,TresMa0,chi,2013
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,home,201310200was,2013-10-20,ShanMi0,was,2013
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,away,201310210nyg,2013-10-21,FrazLe0,min,2013
